confidence,accuracy
3.626609442060087, 0.06178861788617884
3.3047210300429195, 0.14146341463414636
0.2575107296137342, 0.1707317073170732
4.656652360515022, 0.1821138211382114
4.377682403433477, 0.28130081300813004
4.806866952789701, 0.29105691056910565
6.3519313304721035, 0.38211382113821146
7.3605150214592285, 0.40162601626016264
6.180257510729614, 0.42276422764227645
6.566523605150216, 0.4699186991869919
7.103004291845494, 0.5203252032520325
8.412017167381975, 0.5707317073170732
7.811158798283262, 0.6308943089430894
6.738197424892704, 0.5609756097560976
5.4935622317596575, 0.6211382113821139
5.407725321888412, 0.6715447154471545
0.38626609442060067, 0.6910569105691057
0.10729613733905596, 0.6617886178861789
0.4291845493562234, 0.6617886178861789
0.6866952789699572, 0.6617886178861789
1.373390557939914, 0.6715447154471545
2.982832618025751, 0.6617886178861789
3.9484978540772544, 0.6211382113821139
1.0515021459227465, 0.6113821138211382
1.2660944206008584, 0.6016260162601627
1.9098712446351933, 0.5317073170731708
2.2961373390557944, 0.5203252032520325
1.9098712446351933, 0.5121951219512195
4.356223175965665, 0.5821138211382114
3.9699570815450653, 0.551219512195122
4.678111587982832, 0.5528455284552846
5.021459227467812, 0.5414634146341464
4.8927038626609445, 0.5219512195121951
4.806866952789701, 0.5121951219512195
4.356223175965665, 0.4813008130081301
4.935622317596568, 0.4504065040650407
3.862660944206009, 0.4422764227642277
3.1759656652360513, 0.4715447154471545
2.6609442060085837, 0.45203252032520325
5.600858369098713, 0.5008130081300813
